Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
Carla_iLQR_MPC,YukunXia/Carla_iLQR_MPC,https://github.com/YukunXia/Carla_iLQR_MPC,2023-03-16T12:33:16Z,0
Self-Driving-Car-3D-Simulator-With-CNN,sagar448/Self-Driving-Car-3D-Simulator-With-CNN,https://github.com/sagar448/Self-Driving-Car-3D-Simulator-With-CNN,2023-03-08T14:21:53Z,0
VPilot,aitorzip/VPilot,https://github.com/aitorzip/VPilot,2022-12-12T04:11:46Z,0
Automatic-Parking,Pandas-Team/Automatic-Parking,https://github.com/Pandas-Team/Automatic-Parking,2023-03-15T17:24:42Z,1
Error-State-Extended-Kalman-Filter,enginBozkurt/Error-State-Extended-Kalman-Filter,https://github.com/enginBozkurt/Error-State-Extended-Kalman-Filter,2023-03-15T11:43:23Z,0
Self-Driving-Car,Gautam-J/Self-Driving-Car,https://github.com/Gautam-J/Self-Driving-Car,2023-01-27T15:18:55Z,0
Light-Condition-Style-Transfer,Chenzhaowei13/Light-Condition-Style-Transfer,https://github.com/Chenzhaowei13/Light-Condition-Style-Transfer,2023-03-13T14:50:04Z,0
MultiAgentTORCS,abhisheknaik96/MultiAgentTORCS,https://github.com/abhisheknaik96/MultiAgentTORCS,2023-03-15T02:49:05Z,0
Reinforcement-Learning-for-Self-Driving-Cars,songyanho/Reinforcement-Learning-for-Self-Driving-Cars,https://github.com/songyanho/Reinforcement-Learning-for-Self-Driving-Cars,2023-03-12T15:15:34Z,1
3D-BoundingBox,fuenwang/3D-BoundingBox,https://github.com/fuenwang/3D-BoundingBox,2023-02-05T11:14:10Z,0
RCNN-Vehicle-Tracking-Lane-Detection,tj27-vkr/RCNN-Vehicle-Tracking-Lane-Detection,https://github.com/tj27-vkr/RCNN-Vehicle-Tracking-Lane-Detection,2022-11-21T15:04:43Z,0
.oh-my-comma,emu-sh/.oh-my-comma,https://github.com/emu-sh/.oh-my-comma,2023-03-06T07:56:18Z,18
socialways,crowdbotp/socialways,https://github.com/crowdbotp/socialways,2023-01-26T19:37:26Z,0
SelfDrivingRCCar,sidroopdaska/SelfDrivingRCCar,https://github.com/sidroopdaska/SelfDrivingRCCar,2023-01-27T11:14:06Z,0
WIMP,wqi/WIMP,https://github.com/wqi/WIMP,2023-03-11T13:07:43Z,1
SelfDrivingCarsControlDesign,enginBozkurt/SelfDrivingCarsControlDesign,https://github.com/enginBozkurt/SelfDrivingCarsControlDesign,2023-03-04T08:11:43Z,0
waymo_kitti_converter,caizhongang/waymo_kitti_converter,https://github.com/caizhongang/waymo_kitti_converter,2023-03-07T07:13:15Z,0
Waymo_Kitti_Adapter,Yao-Shao/Waymo_Kitti_Adapter,https://github.com/Yao-Shao/Waymo_Kitti_Adapter,2023-01-18T20:02:52Z,0
Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning,idreesshaikh/Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning,https://github.com/idreesshaikh/Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning,2023-03-14T17:55:29Z,0
Reinforcement-Learning-for-Decision-Making-in-self-driving-cars,chauvinSimon/Reinforcement-Learning-for-Decision-Making-in-self-driving-cars,https://github.com/chauvinSimon/Reinforcement-Learning-for-Decision-Making-in-self-driving-cars,2023-02-12T02:12:52Z,0
carla-training-data,enginBozkurt/carla-training-data,https://github.com/enginBozkurt/carla-training-data,2023-02-21T00:42:25Z,0
MADRaS,madras-simulator/MADRaS,https://github.com/madras-simulator/MADRaS,2023-03-01T12:43:30Z,0
SantosNet,cpgeier/SantosNet,https://github.com/cpgeier/SantosNet,2022-11-11T14:13:05Z,0
FusionDepth,AutoAILab/FusionDepth,https://github.com/AutoAILab/FusionDepth,2023-02-14T12:54:31Z,0
rc_car_ros,GigaFlopsis/rc_car_ros,https://github.com/GigaFlopsis/rc_car_ros,2023-03-17T13:03:39Z,0
EOgmaDrive,ogmacorp/EOgmaDrive,https://github.com/ogmacorp/EOgmaDrive,2023-03-07T00:40:41Z,4
NGSIM-US-101-trajectory-dataset-smoothing,Rim-El-Ballouli/NGSIM-US-101-trajectory-dataset-smoothing,https://github.com/Rim-El-Ballouli/NGSIM-US-101-trajectory-dataset-smoothing,2023-03-14T13:49:16Z,2
keras-steering-angle-visualizations,jacobgil/keras-steering-angle-visualizations,https://github.com/jacobgil/keras-steering-angle-visualizations,2022-10-06T18:48:52Z,0
ROS2-Self-Driving-Car-AI-using-OpenCV,noshluk2/ROS2-Self-Driving-Car-AI-using-OpenCV,https://github.com/noshluk2/ROS2-Self-Driving-Car-AI-using-OpenCV,2023-03-17T19:08:41Z,1
DeepTL-Lane-Change-Classification,Ekim-Yurtsever/DeepTL-Lane-Change-Classification,https://github.com/Ekim-Yurtsever/DeepTL-Lane-Change-Classification,2023-02-02T08:17:36Z,0
self-driving-car,yajian/self-driving-car,https://github.com/yajian/self-driving-car,2022-09-26T03:42:57Z,0
SelfDriving-Car_Deep-Learning,snehitvaddi/SelfDriving-Car_Deep-Learning,https://github.com/snehitvaddi/SelfDriving-Car_Deep-Learning,2023-03-15T13:59:14Z,0
YOLO3D,ruhyadi/YOLO3D,https://github.com/ruhyadi/YOLO3D,2023-03-12T03:30:26Z,0
self-driving-car-using-ros,ser94mor/self-driving-car-using-ros,https://github.com/ser94mor/self-driving-car-using-ros,2023-02-07T23:01:10Z,0
Ultrafast-Lane-Detection-Inference-Pytorch-,ibaiGorordo/Ultrafast-Lane-Detection-Inference-Pytorch-,https://github.com/ibaiGorordo/Ultrafast-Lane-Detection-Inference-Pytorch-,2023-03-18T15:07:29Z,0
advanced-lane-detection-for-self-driving-cars,maunesh/advanced-lane-detection-for-self-driving-cars,https://github.com/maunesh/advanced-lane-detection-for-self-driving-cars,2023-02-27T20:16:14Z,0
openpilot,BogGyver/openpilot,https://github.com/BogGyver/openpilot,2023-02-23T22:46:19Z,12
Awesome-Lane-Detection,Charmve/Awesome-Lane-Detection,https://github.com/Charmve/Awesome-Lane-Detection,2023-02-25T14:08:33Z,0
RCAutopilot,UvinduW/RCAutopilot,https://github.com/UvinduW/RCAutopilot,2023-02-13T01:24:00Z,0
SDRC,yazeedalrubyli/SDRC,https://github.com/yazeedalrubyli/SDRC,2022-07-27T07:07:59Z,0
burro,yconst/burro,https://github.com/yconst/burro,2023-01-28T10:51:22Z,1
catvehicle,jmscslgroup/catvehicle,https://github.com/jmscslgroup/catvehicle,2023-03-14T04:09:45Z,1
Trajformer,Manojbhat09/Trajformer,https://github.com/Manojbhat09/Trajformer,2023-01-10T00:19:39Z,0
end-to-end-deep-learning,alexhagiopol/end-to-end-deep-learning,https://github.com/alexhagiopol/end-to-end-deep-learning,2022-12-05T03:25:00Z,0
ironcar,vinzeebreak/ironcar,https://github.com/vinzeebreak/ironcar,2021-09-02T20:40:07Z,1
Self-Driving-Car,prateeksawhney97/Self-Driving-Car,https://github.com/prateeksawhney97/Self-Driving-Car,2022-02-14T20:01:00Z,0
noahcar,james4388/noahcar,https://github.com/james4388/noahcar,2023-02-23T07:05:18Z,0
ROSE,RedHat-Israel/ROSE,https://github.com/RedHat-Israel/ROSE,2023-02-26T13:22:20Z,0
Monocular-Vehicle-Localization,tj27-vkr/Monocular-Vehicle-Localization,https://github.com/tj27-vkr/Monocular-Vehicle-Localization,2022-04-03T08:57:37Z,0
End-to-End-Learning-for-Self-Driving-Cars,Kejie-Wang/End-to-End-Learning-for-Self-Driving-Cars,https://github.com/Kejie-Wang/End-to-End-Learning-for-Self-Driving-Cars,2022-03-23T15:28:33Z,0
semantic-segmentation,sigmaai/semantic-segmentation,https://github.com/sigmaai/semantic-segmentation,2023-03-08T02:56:31Z,0
Vehicle-State-Estimation,jasleon/Vehicle-State-Estimation,https://github.com/jasleon/Vehicle-State-Estimation,2023-02-23T07:39:39Z,0
Lanes-Detection-with-OpenCV,rogersacchelli/Lanes-Detection-with-OpenCV,https://github.com/rogersacchelli/Lanes-Detection-with-OpenCV,2023-03-15T12:45:53Z,0
MachineLearning,mengli/MachineLearning,https://github.com/mengli/MachineLearning,2022-09-10T11:51:43Z,0
Model-Predictive-Control-Carla,abwerby/Model-Predictive-Control-Carla,https://github.com/abwerby/Model-Predictive-Control-Carla,2023-03-10T12:07:09Z,0
road-simulator,vinzeebreak/road-simulator,https://github.com/vinzeebreak/road-simulator,2021-12-15T09:34:49Z,0
AutoLabeler,MankaranSingh/AutoLabeler,https://github.com/MankaranSingh/AutoLabeler,2022-10-21T09:13:28Z,0
Batch3DMOT,robot-learning-freiburg/Batch3DMOT,https://github.com/robot-learning-freiburg/Batch3DMOT,2022-12-28T05:21:35Z,0
Behavioral-Cloning-Project-P4,prateeksawhney97/Behavioral-Cloning-Project-P4,https://github.com/prateeksawhney97/Behavioral-Cloning-Project-P4,2023-02-28T18:42:08Z,0
ROS-GPS,sigmaai/ROS-GPS,https://github.com/sigmaai/ROS-GPS,2023-02-28T20:27:53Z,0
GTA5-Self-Driving-Car,Will-J-Gale/GTA5-Self-Driving-Car,https://github.com/Will-J-Gale/GTA5-Self-Driving-Car,2022-11-13T22:43:24Z,0
Image-Identification-for-Self-Driving-Cars,JeffWang0325/Image-Identification-for-Self-Driving-Cars,https://github.com/JeffWang0325/Image-Identification-for-Self-Driving-Cars,2023-03-12T13:57:04Z,4
end2end-self-driving-car,MahanFathi/end2end-self-driving-car,https://github.com/MahanFathi/end2end-self-driving-car,2023-03-10T04:23:57Z,0
Self-Driving-RC-Car-Payment,jawilk/Self-Driving-RC-Car-Payment,https://github.com/jawilk/Self-Driving-RC-Car-Payment,2023-02-07T11:00:41Z,0
tool-competition-av,se2p/tool-competition-av,https://github.com/se2p/tool-competition-av,2022-11-22T02:30:30Z,1
Self-Driving-Vehicle-Control-on-CARLA,Mostafa-wael/Self-Driving-Vehicle-Control-on-CARLA,https://github.com/Mostafa-wael/Self-Driving-Vehicle-Control-on-CARLA,2023-03-13T09:11:48Z,0
self-driving-car-simulator,yugrocks/self-driving-car-simulator,https://github.com/yugrocks/self-driving-car-simulator,2022-11-20T15:36:02Z,0
ssdf-nncore,HCMUS-ROBOTICS/ssdf-nncore,https://github.com/HCMUS-ROBOTICS/ssdf-nncore,2022-10-12T03:10:46Z,0
TatamiRacer,covao/TatamiRacer,https://github.com/covao/TatamiRacer,2023-02-13T00:02:11Z,0
Autonomous-RC-Car,germain-hug/Autonomous-RC-Car,https://github.com/germain-hug/Autonomous-RC-Car,2022-12-16T01:44:21Z,0
RacingCARLA,SSubhnil/RacingCARLA,https://github.com/SSubhnil/RacingCARLA,2023-03-03T21:18:16Z,1
steering_model,kevindubon/steering_model,https://github.com/kevindubon/steering_model,2022-11-25T23:10:31Z,0
DonkeyDrift,Mavengers/DonkeyDrift,https://github.com/Mavengers/DonkeyDrift,2022-04-10T02:29:29Z,0
Self-Driving-Car,dhairyaostwal/Self-Driving-Car,https://github.com/dhairyaostwal/Self-Driving-Car,2022-07-01T06:36:35Z,0
Self-Driving-Car,surirohit/Self-Driving-Car,https://github.com/surirohit/Self-Driving-Car,2023-03-01T19:17:10Z,0
AutonomousCarAI,Akatsuki06/AutonomousCarAI,https://github.com/Akatsuki06/AutonomousCarAI,2020-06-15T16:08:25Z,0
LaneDetection_Ros,zhangcaocao/LaneDetection_Ros,https://github.com/zhangcaocao/LaneDetection_Ros,2022-12-16T01:40:47Z,0
IntersectionControl,julesdehon/IntersectionControl,https://github.com/julesdehon/IntersectionControl,2023-03-15T11:07:08Z,2
behavioral-cloning-research,sigmaai/behavioral-cloning-research,https://github.com/sigmaai/behavioral-cloning-research,2022-10-08T20:01:44Z,0
DriveAI,codewmax/DriveAI,https://github.com/codewmax/DriveAI,2023-03-06T22:27:59Z,0
LiDAR-Road-Analysis,rbhatia46/LiDAR-Road-Analysis,https://github.com/rbhatia46/LiDAR-Road-Analysis,2022-11-02T01:45:34Z,0
Self-Driving-Robot-Using-Neural-Network,akshay1997feb/Self-Driving-Robot-Using-Neural-Network,https://github.com/akshay1997feb/Self-Driving-Robot-Using-Neural-Network,2023-02-27T22:37:49Z,0
SADA,ajhamdi/SADA,https://github.com/ajhamdi/SADA,2022-02-03T00:15:49Z,0
Lane-Detection,kirilcvetkov92/Lane-Detection,https://github.com/kirilcvetkov92/Lane-Detection,2023-02-19T20:47:56Z,0
NeuroMario,Ashafix/NeuroMario,https://github.com/Ashafix/NeuroMario,2021-11-13T03:51:26Z,0
Self-Driving-Car-Projects,Geniussh/Self-Driving-Car-Projects,https://github.com/Geniussh/Self-Driving-Car-Projects,2023-03-14T05:57:21Z,0
deep-rl-ddpg-self-driving-car,djo10/deep-rl-ddpg-self-driving-car,https://github.com/djo10/deep-rl-ddpg-self-driving-car,2022-10-16T07:07:14Z,0
Solecthon,VCET-Driverless/Solecthon,https://github.com/VCET-Driverless/Solecthon,2022-11-16T19:31:52Z,0
Lane-Detection,shayantaherian/Lane-Detection,https://github.com/shayantaherian/Lane-Detection,2022-08-13T14:18:55Z,0
Dynamic-CIL-Driving,heshameraqi/Dynamic-CIL-Driving,https://github.com/heshameraqi/Dynamic-CIL-Driving,2022-12-15T00:50:10Z,0
Self-Driving-Car-,ddayto21/Self-Driving-Car-,https://github.com/ddayto21/Self-Driving-Car-,2022-11-05T02:40:32Z,0
Traffic-sign-classifier,kirilcvetkov92/Traffic-sign-classifier,https://github.com/kirilcvetkov92/Traffic-sign-classifier,2023-02-04T17:37:45Z,0
GTA5-AI-Playground,Onixaz/GTA5-AI-Playground,https://github.com/Onixaz/GTA5-AI-Playground,2022-09-03T20:16:47Z,0
SelfDrivingCar,Suryavf/SelfDrivingCar,https://github.com/Suryavf/SelfDrivingCar,2022-11-18T09:00:04Z,0
Simulated-Self-Driving-Car,anubhavshrimal/Simulated-Self-Driving-Car,https://github.com/anubhavshrimal/Simulated-Self-Driving-Car,2022-03-08T09:37:50Z,0
autonomous_car_simulation,pgebert/autonomous_car_simulation,https://github.com/pgebert/autonomous_car_simulation,2023-03-17T10:35:28Z,0
End-to-End-Self-Driving-Car,Ansheel9/End-to-End-Self-Driving-Car,https://github.com/Ansheel9/End-to-End-Self-Driving-Car,2023-02-08T20:48:08Z,0
nvidia-cnn,Yunski/nvidia-cnn,https://github.com/Yunski/nvidia-cnn,2020-01-28T14:14:42Z,0
ADAS-Car-using-Raspberry-Pi,AdroitAnandAI/ADAS-Car-using-Raspberry-Pi,https://github.com/AdroitAnandAI/ADAS-Car-using-Raspberry-Pi,2023-03-06T07:37:34Z,0
BPnetwork_smartcar,lurenlym/BPnetwork_smartcar,https://github.com/lurenlym/BPnetwork_smartcar,2021-10-14T11:18:45Z,0
Intelligent-Learning,jatinmandav/Intelligent-Learning,https://github.com/jatinmandav/Intelligent-Learning,2022-02-13T23:07:11Z,0
Machathon4.0-Judge,NouranHany/Machathon4.0-Judge,https://github.com/NouranHany/Machathon4.0-Judge,2023-03-01T20:01:06Z,0
self-driving-car-pytorch,webdizz/self-driving-car-pytorch,https://github.com/webdizz/self-driving-car-pytorch,2022-11-29T07:54:15Z,0
capstone-project,tokyo-drift/capstone-project,https://github.com/tokyo-drift/capstone-project,2021-12-02T14:22:36Z,0
Autonomous-Vehicles-Adaptive-Cruise-Control,kochlisGit/Autonomous-Vehicles-Adaptive-Cruise-Control,https://github.com/kochlisGit/Autonomous-Vehicles-Adaptive-Cruise-Control,2023-03-12T12:21:53Z,0
self-driving-car-simulator,benjaminykim/self-driving-car-simulator,https://github.com/benjaminykim/self-driving-car-simulator,2022-03-08T09:46:36Z,0
Basic_self_driving_car,gitliber/Basic_self_driving_car,https://github.com/gitliber/Basic_self_driving_car,2022-05-01T12:59:07Z,0
carnd-advanced-lane-detection,manavkataria/carnd-advanced-lane-detection,https://github.com/manavkataria/carnd-advanced-lane-detection,2022-04-12T09:17:18Z,0
Dashcam-Speed-Predictor-Keras,vsatyakumar/Dashcam-Speed-Predictor-Keras,https://github.com/vsatyakumar/Dashcam-Speed-Predictor-Keras,2022-05-05T18:01:45Z,0
Semantic-Segmentation-using-Fully-Convolutional-Networks,mohamedameen93/Semantic-Segmentation-using-Fully-Convolutional-Networks,https://github.com/mohamedameen93/Semantic-Segmentation-using-Fully-Convolutional-Networks,2022-10-21T10:45:38Z,0
Self-Driving-Vehicle,emirelesg/Self-Driving-Vehicle,https://github.com/emirelesg/Self-Driving-Vehicle,2022-12-13T15:00:33Z,0
CarND-Capstone,mkoehnke/CarND-Capstone,https://github.com/mkoehnke/CarND-Capstone,2022-01-24T14:48:26Z,0
speed_estimation,NeilNie/speed_estimation,https://github.com/NeilNie/speed_estimation,2021-11-24T13:59:16Z,0
TNEX,nicholaskajoh/TNEX,https://github.com/nicholaskajoh/TNEX,2021-09-22T07:14:43Z,0
Project-Intelligent-Car,UvinduW/Project-Intelligent-Car,https://github.com/UvinduW/Project-Intelligent-Car,2021-09-30T20:49:57Z,0
Self_driving_Car,ShuvenduRoy/Self_driving_Car,https://github.com/ShuvenduRoy/Self_driving_Car,2020-02-13T19:22:25Z,0
self-driving-donkey-car,andrew-houghton/self-driving-donkey-car,https://github.com/andrew-houghton/self-driving-donkey-car,2021-01-18T22:09:24Z,0
allgo,IsmoilovMuhriddin/allgo,https://github.com/IsmoilovMuhriddin/allgo,2023-02-16T09:08:31Z,0
SelfdrivingcarForza,jimhoggey/SelfdrivingcarForza,https://github.com/jimhoggey/SelfdrivingcarForza,2022-12-30T10:22:41Z,0
Trajectory_Predictor,chrisHuxi/Trajectory_Predictor,https://github.com/chrisHuxi/Trajectory_Predictor,2023-03-06T12:12:25Z,0
nissanleaf-lgsvl,szenergy/nissanleaf-lgsvl,https://github.com/szenergy/nissanleaf-lgsvl,2022-11-30T10:18:47Z,1
GamePilot,20Koen02/GamePilot,https://github.com/20Koen02/GamePilot,2022-11-06T18:13:20Z,0
3D-Detection-Pipeline,mjoshi07/3D-Detection-Pipeline,https://github.com/mjoshi07/3D-Detection-Pipeline,2023-02-02T04:33:03Z,0
End-to-End-Model-for-Self-Driving-Cars,SurajDonthi/End-to-End-Model-for-Self-Driving-Cars,https://github.com/SurajDonthi/End-to-End-Model-for-Self-Driving-Cars,2023-01-26T18:12:18Z,0
Motion_Planning_CARLA,NekSfyris/Motion_Planning_CARLA,https://github.com/NekSfyris/Motion_Planning_CARLA,2022-11-22T23:02:47Z,0
behavioral_cloning_car,manavkataria/behavioral_cloning_car,https://github.com/manavkataria/behavioral_cloning_car,2022-04-12T09:15:00Z,0
Mini-Self-Driving-Car,gtmshrm/Mini-Self-Driving-Car,https://github.com/gtmshrm/Mini-Self-Driving-Car,2020-02-13T20:03:11Z,0
ThePathfinder,SaumyaBhandari/ThePathfinder,https://github.com/SaumyaBhandari/ThePathfinder,2023-02-07T09:01:05Z,0
SelfDrivingProject_MiniTesla,HaiderAbasi/SelfDrivingProject_MiniTesla,https://github.com/HaiderAbasi/SelfDrivingProject_MiniTesla,2023-03-03T07:03:45Z,3
GoKart,FoothillCSClub/GoKart,https://github.com/FoothillCSClub/GoKart,2021-11-25T23:31:12Z,0
KittiPy,LucasVandroux/KittiPy,https://github.com/LucasVandroux/KittiPy,2022-02-24T00:19:19Z,1
semantic_segmentation,filippogiruzzi/semantic_segmentation,https://github.com/filippogiruzzi/semantic_segmentation,2022-07-08T12:52:33Z,0
steering-prediction-with-keras,ckirksey3/steering-prediction-with-keras,https://github.com/ckirksey3/steering-prediction-with-keras,2019-07-13T18:53:26Z,0
YOLOER_V1,HassanBinHaroon/YOLOER_V1,https://github.com/HassanBinHaroon/YOLOER_V1,2023-03-03T00:03:22Z,0
Autonomouscar,dineshresearch/Autonomouscar,https://github.com/dineshresearch/Autonomouscar,2022-12-29T13:35:00Z,0
CarND-Behavioral-Cloning-P3,zhao-zh10/CarND-Behavioral-Cloning-P3,https://github.com/zhao-zh10/CarND-Behavioral-Cloning-P3,2019-09-19T04:12:59Z,0
Navigation-DQN,dixantmittal/Navigation-DQN,https://github.com/dixantmittal/Navigation-DQN,2022-04-26T14:11:44Z,0
Duckietown-AI-Driving-Olympics,Famosi/Duckietown-AI-Driving-Olympics,https://github.com/Famosi/Duckietown-AI-Driving-Olympics,2022-05-15T13:59:54Z,0
R_CNN-SelfDrivingCar,Aryan05/R_CNN-SelfDrivingCar,https://github.com/Aryan05/R_CNN-SelfDrivingCar,2022-03-09T16:35:59Z,0
driving-dirty,annikabrundyn/driving-dirty,https://github.com/annikabrundyn/driving-dirty,2020-12-11T15:52:37Z,0
DataGAN,srianumakonda/DataGAN,https://github.com/srianumakonda/DataGAN,2022-10-11T21:46:32Z,0
SelfDrivingCarAI,walkccc-Lab/SelfDrivingCarAI,https://github.com/walkccc-Lab/SelfDrivingCarAI,2022-07-08T10:45:37Z,0
Self-Driving-Car-on-GTAV,chauhanmahavir/Self-Driving-Car-on-GTAV,https://github.com/chauhanmahavir/Self-Driving-Car-on-GTAV,2021-04-11T09:49:17Z,0
mobinha,inha-cvl/mobinha,https://github.com/inha-cvl/mobinha,2023-03-14T01:37:18Z,0
mark1_project,hoangtnm/mark1_project,https://github.com/hoangtnm/mark1_project,2022-12-12T17:31:17Z,0
CarND-Behavioral-Cloning,pchandra90/CarND-Behavioral-Cloning,https://github.com/pchandra90/CarND-Behavioral-Cloning,2019-04-30T07:29:57Z,0
racecar_eklavya,sameergupta4873/racecar_eklavya,https://github.com/sameergupta4873/racecar_eklavya,2022-12-07T07:28:01Z,0
DeFIX,resuldagdanov/DeFIX,https://github.com/resuldagdanov/DeFIX,2023-02-18T15:39:57Z,0
Road_sign_recognition,OussemaHdr/Road_sign_recognition,https://github.com/OussemaHdr/Road_sign_recognition,2022-03-09T10:12:26Z,0
CarND-T1-P5-Vehicle-Detection,norman-thomas/CarND-T1-P5-Vehicle-Detection,https://github.com/norman-thomas/CarND-T1-P5-Vehicle-Detection,2021-12-02T14:27:56Z,0
selfDrivingRobot,aleksandarPlu/selfDrivingRobot,https://github.com/aleksandarPlu/selfDrivingRobot,2022-05-01T16:20:55Z,0
CarND-Behavioral-Cloning-Project,wolfapple/CarND-Behavioral-Cloning-Project,https://github.com/wolfapple/CarND-Behavioral-Cloning-Project,2019-09-18T02:01:10Z,0
Self-Driving-Car-Virtual,Yashkapure06/Self-Driving-Car-Virtual,https://github.com/Yashkapure06/Self-Driving-Car-Virtual,2022-08-08T17:52:23Z,0
Self-Driving-Car-Simulation,sid-1998/Self-Driving-Car-Simulation,https://github.com/sid-1998/Self-Driving-Car-Simulation,2020-04-16T13:17:43Z,0
Self_Driving_Car,ashutoshkumar19/Self_Driving_Car,https://github.com/ashutoshkumar19/Self_Driving_Car,2021-07-30T11:47:34Z,0
SDC_Term3_Final_CarND-Capstone_Non_Train_version,studian/SDC_Term3_Final_CarND-Capstone_Non_Train_version,https://github.com/studian/SDC_Term3_Final_CarND-Capstone_Non_Train_version,2019-08-08T17:35:18Z,0
SelfDrivingCar,FredCarvalhoOliveira/SelfDrivingCar,https://github.com/FredCarvalhoOliveira/SelfDrivingCar,2022-10-16T16:30:08Z,0
self-driving-car-sim,kaylode/self-driving-car-sim,https://github.com/kaylode/self-driving-car-sim,2021-12-13T01:33:08Z,0
Self-Driving-Car,Sagor-Saha/Self-Driving-Car,https://github.com/Sagor-Saha/Self-Driving-Car,2021-09-04T09:36:43Z,0
gtasa-driving,ParmuSingh/gtasa-driving,https://github.com/ParmuSingh/gtasa-driving,2023-02-20T11:47:57Z,0
Self-Driving-Car-CARLA,rudrajit1729/Self-Driving-Car-CARLA,https://github.com/rudrajit1729/Self-Driving-Car-CARLA,2022-10-10T07:02:23Z,0
3D-Computer-vision-PseudoLIDAR,aditya-167/3D-Computer-vision-PseudoLIDAR,https://github.com/aditya-167/3D-Computer-vision-PseudoLIDAR,2023-03-01T20:14:50Z,0
carUFP,lcmeyer37/carUFP,https://github.com/lcmeyer37/carUFP,2021-12-02T14:30:13Z,0
pilotnet,vishalkrishnads/pilotnet,https://github.com/vishalkrishnads/pilotnet,2023-03-09T02:52:40Z,1
Self-driving-with-YOLO,dec880126/Self-driving-with-YOLO,https://github.com/dec880126/Self-driving-with-YOLO,2022-05-01T08:44:37Z,1
wandb-jetracer,Armandpl/wandb-jetracer,https://github.com/Armandpl/wandb-jetracer,2023-03-02T14:50:19Z,0
CNN_Dashcam_Speed_Detector,ArtyZiff35/CNN_Dashcam_Speed_Detector,https://github.com/ArtyZiff35/CNN_Dashcam_Speed_Detector,2022-10-06T18:06:39Z,0
COLA,Panshark/COLA,https://github.com/Panshark/COLA,2023-01-15T10:07:41Z,0
2020-AWS-Networking-DeepRacer-Cup,Bennyhwanggggg/2020-AWS-Networking-DeepRacer-Cup,https://github.com/Bennyhwanggggg/2020-AWS-Networking-DeepRacer-Cup,2022-11-13T11:43:24Z,0
SLS-Fusion,maiminh1996/SLS-Fusion,https://github.com/maiminh1996/SLS-Fusion,2023-02-06T11:11:23Z,0
