,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
111,policydissect,46.91729323308271,12,12,1,0.7516107886531697,34.588235294117645,77990.67242259948,4332.81513458886,2254.832365959509
112,RLWithAutonomousDriving,24.2904093217807,0,14,1,2.6524454953984273,74.93525179856115,596285.0132389213,33126.94517994007,7957.336486195281
113,fastreg,22.26027397260274,1,19,1,2.9970252476617545,42.533557046979865,382422.4330279806,21245.6907237767,8991.075742985264
114,Deep3DBox,51.438127090301,8,2,0,0.22624163150766727,16.775,11385.610105623355,632.533894756853,678.7248945230018
115,pylot,6.806420845424843,0,77,1,11.004875193704487,311.72037914691947,10291331.603538275,571740.6446410152,33014.62558111346
116,DeepEye,10.854017669331089,3,7,1,1.824753083240424,66.01851851851852,361402.48565289506,20077.91586960528,5474.259249721272
117,policydissect,0.0,6,14,1,0.63797998156329,14.240506329113924,27255.47389590005,1514.1929942166694,1913.9399446898701
118,nuplan-devkit,37.03030991031899,5,24,1,1.704381741332531,52.61904761904762,269048.8320246353,14947.15733470196,5113.145223997593
119,RaspberryPi_bclw,0.0,13,3,0,2.32690218345976,47.54069767441861,331867.659665415,18437.092203634165,6980.70655037928
120,SelfDrivingCarController,13.508992053534087,27,4,0,1.0332571921079738,34.849999999999994,108027.03943488865,6001.502190827147,3099.7715763239216
121,waymo-motion-prediction-challenge-2022-multipath-plus-plus,0.0,0,2,1,1.8486555991974059,31.230769230769234,173204.8092171108,9622.4894009506,5545.9667975922175
122,hope-autonomous-driving,7.378777231201687,24,9,0,1.3932386407144561,32.88461538461539,137448.3505166377,7636.019473146539,4179.7159221433685
123,SEE-VCN,7.357212003872217,5,0,0,0.6339850002884624,11.217391304347826,21334.97348796826,1185.2763048871254,1901.9550008653873
124,ANTI-CARLA,29.74408077994429,7,10,0,3.2572643338825333,79.22222222222223,774143.1566860821,43007.953149226785,9771.7930016476
125,ENVIRONMENT_REPRESENTATION_USING_RADAR,13.54426433915212,0,2,0,2.512180747152053,223.63636363636363,1685444.9012711046,93635.82784839469,7536.542241456159
126,sdcar,25.810372771474878,12,7,1,0.6067171298446171,14.67857142857143,26717.22218208618,1484.29012122701,1820.1513895338514
127,RODNet,19.00826446280992,2,0,0,0.4668576584424683,7.338709677419355,10278.398447967245,571.0221359981803,1400.572975327405
128,RRPN,20.774135247753403,40,24,1,6.676692737113255,97.19543147208122,1946832.0941707015,108157.33856503897,20030.078211339765
129,OpenCOOD,20.52311811347956,11,5,1,4.198820145470942,96.78571428571429,1219157.420809956,67730.96782277533,12596.460436412828
130,SEE-MTDA,0.0,2,0,0,0.050572676147928264,3.111111111111111,472.01164404733044,26.22286911374058,151.7180284437848
131,InterFuser,1.5815085158150852,4,8,1,0.642,29.766666666666666,57330.6,3185.0333333333333,1926.0
132,monstereo,10.56036293371419,39,10,1,4.873620091185812,53.96756756756757,789052.2647091753,43836.236928287515,14620.860273557435
133,PersFormer_3DLane,36.864023175810246,4,5,1,1.6628863228210624,18.264462809917354,91115.17620085656,5061.9542333809195,4988.658968463187
134,nuplan-devkit,4.027870573637491,15,30,1,3.83785387362207,60.34042553191489,694733.2075909908,38596.2893106106,11513.56162086621
135,bark-ml,9.238900634249472,0,14,1,1.3811920457880993,57.08333333333333,236529.137841212,13140.507657845112,4143.576137364298
136,Self-Driving-Car-in-Video-Games,13.807764689482122,58,22,1,4.473137399687046,42.42857142857143,569366.4890173082,31631.47161207268,13419.412199061137
137,BeamNGpy,22.207267833109018,4,4,1,0.3745762085393281,7.547169811320755,8480.970759381014,471.16504218783416,1123.7286256179843
138,End-to-End-Self-Driving-Car,38.19255222524977,11,10,1,1.4594030932335147,25.396039603960396,111189.17626170194,6177.176458983441,4378.209279700544
139,End-to-End-Self-Driving-Car,35.55972482801751,3,9,1,1.9128835051673567,43.714285714285715,250861.00824909052,13936.722680505029,5738.65051550207
140,OGC,8.976897689768977,4,16,1,2.2418173938688097,33.95744680851064,228379.18472008218,12687.73248444901,6725.45218160643
141,ANTI-CARLA,68.50465398624038,4,8,1,2.3059957585663335,77.21428571428571,534167.4460736157,29675.969226311983,6917.987275699001
142,PCLSegmentation,29.138731304796288,16,10,1,2.1087152913275604,24.608391608391607,155676.2750387766,8648.6819465987,6326.145873982681
143,coop-3dod-infra,10.589462702138759,0,5,1,0.8302146786827814,57.45454545454545,143098.82098023215,7949.934498901786,2490.6440360483443
144,Automatic-Parking,27.22163394966197,5,5,1,4.756392607234613,63.02760736196319,899352.1371243827,49964.007618021256,14269.177821703837
145,SEE-MTDA,0.0,2,0,0,0.8836269920766822,9.625,25514.7293962142,1417.4849664563444,2650.8809762300466
146,BADet,7.292173067574137,0,16,1,4.951021037890157,67.74590163934425,1006234.1527416919,55901.89737453844,14853.063113670469
147,coperception,22.20195655778478,83,9,1,7.927973409218356,110.94957983193278,2638815.956014537,146600.88644525205,23783.920227655068
148,BeamNGpy,13.571689164538489,0,4,1,0.8315393959655337,28.066037735849058,70014.0481980414,3889.6693443356335,2494.6181878966013
149,sccav_cbf,22.228481297881928,43,5,1,3.8988067274949074,92.4770642201835,1081650.60036189,60091.700020104996,11696.420182484722
150,ENVIRONMENT_REPRESENTATION_USING_RADAR,20.452099031216363,3,13,1,1.237587674574964,18.275229357798164,67851.59580972463,3769.5331005402572,3712.7630237248923
151,ENVIRONMENT_REPRESENTATION_USING_RADAR,77.31577731577731,6,2,0,0.4258934988963166,14.682926829268293,18760.08924406702,1042.2271802259456,1277.68049668895
152,RoboBEV,4.904737384140062,2,0,0,2.7820513636427515,14.37185929648241,119949.75226158193,6663.875125643441,8346.154090928254
153,nuplan-devkit,25.507626087770188,14,36,1,2.5675982515118227,66.0,508384.4537993409,28243.58076663005,7702.794754535468
154,Deep_reinforcement_learning_Bachelor_project,5.781784271059994,11,11,1,1.4718869586975838,37.78823529411765,166860.03216482254,9270.001786934585,4415.660876092751
155,3D-Object-Detection,0.0,3,6,0,0.34940362359278704,13.5,14150.846755507875,786.1581530837708,1048.2108707783611
156,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
157,openpilot,2.925531914893617,4,2,1,0.20670550120651918,11.17741935483871,6931.302209812151,385.07234498956393,620.1165036195575
158,RRPN,16.271538555541976,23,18,1,6.073672327475796,97.62765957446808,1778875.2430610226,98826.40239227904,18221.016982427387
159,NPSN,2.0878778435649736,15,11,1,3.154601884233032,33.712574850299404,319049.2564353049,17724.95869085027,9463.805652699097
160,ANTI-CARLA,10.640433647861876,13,7,1,1.4638406898163363,75.27777777777777,330584.0224501893,18365.779025010517,4391.522069449009
161,ros_deu,10.300546448087431,4,10,1,1.3053023827392811,39.83516483516483,155990.80672845803,8666.15592935878,3915.9071482178433
162,SEE-MTDA,0.0,2,0,0,0.33853267911836776,8.275862068965518,8404.949274662924,466.94162637016245,1015.5980373551033
163,ALLINONE-Det,3.223988982095906,35,8,1,6.9771671497459735,86.98695652173913,1820767.6064995786,101153.75591664325,20931.50144923792
164,plant,22.868217054263567,4,2,0,0.13227403387250883,10.090909090909092,4004.295752685949,222.4608751492194,396.82210161752647
165,dgp,42.42725525286671,100,11,1,5.821045915425128,69.02777777777777,1205441.5916526201,66968.97731403445,17463.137746275384
166,PythonRobotics,8.02139037433155,1,3,1,0.24140466561840493,16.956521739130434,12280.150381457988,682.230576747666,724.2139968552148
167,torchbox3d,30.28105167724388,3,10,1,0.9194978626591205,50.83783783783784,140235.84970230857,7790.880539017143,2758.4935879773616
168,ANTI-CARLA,60.179879289298796,177,16,1,23.611054865516518,700.6059782608696,49626138.5754788,2757007.698637711,70833.16459654956
169,MOOCs,4.356060606060606,7,3,0,0.191086021498045,9.75,5589.266128817816,310.51478493432313,573.2580644941349
170,csg,7.79893650865791,49,15,1,11.75641725312672,138.45592705167172,4883236.948763784,271290.941597988,35269.25175938016
171,ANTI-CARLA,53.125,2,5,1,0.15092806429042674,12.272727272727273,5556.896912511166,308.7164951395092,452.7841928712802
172,aido3,5.938448201127005,11,14,1,0.8503125308609352,19.47826086956522,49687.82789030856,2760.4348827949198,2550.9375925828053
173,tmrl,9.653124005516071,30,12,1,3.066492720289676,48.31372549019608,444461.0625172801,24692.281250960004,9199.478160869028
174,MapTR,34.317548746518106,11,10,1,0.7422898066948971,34.97727272727273,77889.8190343259,4327.212168573661,2226.8694200846912
175,CollisionWarningService,20.771950500883914,7,12,1,0.9633591475173351,29.47435897435897,85183.18000547512,4732.398889193062,2890.0774425520053
176,PEACE,0.0,1,5,1,0.0945446468004662,8.088235294117649,2294.098047364254,127.44989152023633,283.6339404013986
177,AutoMobility,33.287506444406255,0,5,0,1.5003662714405337,24.20689655172414,108957.63336737118,6053.201853742843,4501.098814321601
178,road-object-detection-for-bdd100k,34.0513342379014,6,10,1,4.8855107523247305,81.61904761904762,1196252.204212084,66458.45578956022,14656.532256974191
179,density_MP,22.71591224659817,13,8,1,1.2091248628872608,27.27272727272727,98928.39787259405,5496.022104033003,3627.3745886617826
180,av1tenth,0.0,1,4,1,0.1502772880817352,14.024999999999999,6322.916896039008,351.273160891056,450.8318642452056
181,SEE-MTDA,0.0,2,0,0,0.025903078026987644,3.4285714285714284,266.4316597061586,14.801758872564367,77.70923408096293
182,Self-Driving-RC-car,27.423429112724975,66,7,0,3.430040848480149,59.74662162162162,614800.0581625483,34155.558786808244,10290.122545440447
183,self-driving-truck,0.0,7,8,0,0.4781279091534292,14.237288135593221,20421.734424858332,1134.5408013810184,1434.3837274602874
184,nuplan-devkit,14.95405179615706,2,7,1,0.23573228820319567,17.884615384615383,12647.943924748382,702.6635513749102,707.196864609587
185,InterFuser,28.80984952120383,6,2,1,0.9567184516929542,31.77049180327869,91186.24718266945,5065.902621259414,2870.1553550788626
186,nuplan-devkit,5.257124140189977,11,13,1,2.226351833963697,108.73333333333333,726235.9682389579,40346.442679942105,6679.055501891091
187,Autonomous-Vehicle-System,27.4197624462977,16,12,1,0.7777405285649457,26.29032258064516,61341.148140041674,3407.8415633356485,2333.221585694837
188,TNEX,13.25126719768284,56,7,0,3.1993683472930035,52.613013698630134,504985.23204927135,28054.73511384841,9598.105041879011
189,Mini-Self-Driving-Car,50.100200400801604,1,2,0,0.1057618082852673,9.382352941176471,2976.883839088259,165.38243550490327,317.28542485580186
190,RAP,0.0,0,17,1,3.3804266295520833,48.144444444444446,488246.2861949726,27124.793677498477,10141.27988865625
191,PCAccumulation,16.063907044299203,16,10,1,2.022471122883548,44.24719101123595,268465.99826681166,14914.777681489537,6067.413368650645
192,DI-drive,0.9853687667960586,6,12,1,1.0867856480134803,17.333333333333332,56512.85369670098,3139.6029831500546,3260.3569440404412
193,PaddleSeg,17.42452830188679,17,12,1,4.4310046369722516,72.39041095890411,962286.7398936931,53460.37443853851,13293.013910916756
194,nd013-c2-sensor-fusion,36.93884764934606,6,9,1,1.359039931821766,38.24096385542169,155912.99073261276,8661.832818478486,4077.1197954652985
195,nuplan-devkit,9.365853658536585,6,21,1,1.3252695190512276,38.208333333333336,151909.01862124697,8439.38992340261,3975.808557153683
196,bark-ml,32.986767485822305,6,17,1,0.6662226046130072,16.316666666666666,32611.5964958067,1811.75536087815,1998.6678138390216
197,GndNet,7.785888077858881,2,0,0,0.13312387744020876,8.36111111111111,3339.19059245857,185.51058846992055,399.3716323206263
198,LaneDetection_Ros,16.545538889747952,1,16,1,3.3509584870487505,39.66666666666667,398764.0599588014,22153.558886600076,10052.875461146252
199,RoboBEV,26.697815214530138,4,0,0,4.370182112836373,18.20564516129032,238685.95450955105,13260.33080608617,13110.546338509119
200,ILLUME,5.551941010626762,51,4,1,3.1679581642498214,48.49411764705882,460882.007754274,25604.555986348554,9503.874492749464
201,ANTI-CARLA,0.42065009560229444,18,11,1,1.096,36.53191489361702,120116.93617021276,6673.163120567376,3288.0
202,ANTI-CARLA,73.38709677419355,2,0,0,0.07929464691761359,13.714285714285714,3262.4083303246734,181.24490724025964,237.88394075284077
203,pylot,38.96022549326652,0,11,1,1.5191722368851557,42.0,191415.70184752962,10634.20565819609,4557.516710655467
204,Attention_Mechanisms_for_3D_Semantic_Segmentation,0.672645739910314,5,7,1,5.204854324572838,88.5576923076923,1382789.6633456491,76821.64796364718,15614.562973718514
205,Mini-Self-Driving-Car,39.656406585540445,4,7,0,0.7462592709018216,28.0,62685.77875575302,3482.543264208501,2238.777812705465
206,Autonomous_Truck_Robots,16.749116607773853,6,6,1,1.8467902953165491,52.212643678160916,289277.41091294563,16070.967272941423,5540.370885949647
207,3DOD_thesis,21.043431491192685,9,13,1,2.2546284897965174,29.866666666666667,202014.71268576794,11223.039593653775,6763.885469389552
208,FADNet,6.292352371732817,5,11,1,0.8223013922017588,15.025974025974026,37067.638082237725,2059.3132267909846,2466.9041766052765
209,cad2cav_simulator,0.0,3,5,1,0.33327533110065827,17.606060606060606,17602.997033589312,977.9442796438507,999.8259933019748
